year,month,state,genus_species,serotypeorgenogroup,status,locationofconsumption,totalill,totalhospitalizations,totaldeaths,foodvehicle,contaminated_ingredient,serialid
2000,November,Ohio,Norovirus,GII / undefined cluster by sequence,Confirmed,"Workplace, not cafeteria",107,3,0,fruit salad,,2024
2000,November,Ohio,Norovirus,,Suspected,Restaurant - other or unknown type,10,0,0,water,Water,2025
2000,November,Ohio,,,,,4,0,0,,,2026
2000,November,Ohio,,,,Other; Restaurant - other or unknown type,11,0,0,,,2027
2000,November,Ohio,,,,Restaurant - other or unknown type,4,2,0,,,2028
2000,November,New York,Norovirus,,Confirmed,"Workplace, not cafeteria",26,,,,,2029
2000,November,New York,,,,,34,,,,,2030
2000,November,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,Restaurant - other or unknown type,43,0,0,lettuce-based salads unspecified; mixed fruit,,2031
2000,October,Ohio,Pesticides,,Confirmed,Restaurant - other or unknown type,31,1,0,"house salad; mesclun mix, unspecified",,2032
2000,October,Ohio,Norovirus,,Suspected,"Church, temple, etc",15,,,,,2033
2000,October,Ohio,,,,Restaurant - other or unknown type,10,0,0,,,2034
2000,October,Ohio,Salmonella enterica,Enteritidis,Confirmed,Private home; Restaurant - other or unknown type,6,1,,"fried rice, unspecified; soup unspecified",,2035
2000,September,Ohio,Norovirus,GII / undefined cluster by sequence,Confirmed,Other,36,0,0,,,2036
2000,September,Ohio,,,,Restaurant - other or unknown type,3,,,,,2037
2000,August,Ohio,Other chemical,,Suspected,Private home,6,0,0,"chicken, fried",,2038
2000,August,Ohio,Salmonella enterica,Newport,Confirmed,"Church, temple, etc; Nursing home, assisted living facility, home care; Picnic; Private home; Restaurant - other or unknown type",49,11,0,"sandwich, submarine",,2039
2000,August,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,Other,22,0,0,,,2040
2000,August,Ohio,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,132,,,"ice cream, commercial",Eggs,2041
2000,August,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,Other,100,,0,ice ; lettuce-based salads unspecified; water,,2042
2000,August,Ohio,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,41,11,0,"shell egg, other",Eggs,2043
2000,July,Ohio,Norovirus,GII / undefined cluster by sequence,Confirmed,Restaurant - other or unknown type,9,0,,,,2044
2000,July,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,"Restaurant - other or unknown type; Workplace, not cafeteria",26,0,0,"sandwich, submarine",,2045
2000,July,Ohio,Clostridium perfringens,,Confirmed,Other; School,92,0,0,"chicken, unspecified",Chicken,2046
2000,June,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,"Workplace, not cafeteria",12,,,,,2047
2000,June,Ohio,Clostridium perfringens,,Suspected,"Workplace, not cafeteria",28,,,"taco, beef",,2048
2000,June,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,Restaurant - other or unknown type,31,0,0,"multiple foods; salad, unspecified",,2049
2000,June,Ohio,Campylobacter unknown,,Confirmed,Restaurant - other or unknown type,13,,0,,,2050
2000,May,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,Private home,5,,,,,2051
2000,May,Ohio,Other chemical,,Suspected,Restaurant - other or unknown type,2,,,"fish, catfish",Fin fish,2052
2000,May,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,"Workplace, not cafeteria",15,0,0,,,2053
2000,May,Ohio,Other chemical,,Confirmed,,5,,,"pizza, unspecified",,2054
2000,May,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,Restaurant - other or unknown type,3,,,lettuce-based salads unspecified,,2055
2000,April,Ohio,,,,Restaurant - other or unknown type,5,,,,,2056
2000,April,Ohio,Clostridium botulinum,,Confirmed,"Workplace, not cafeteria",3,3,1,"home canned pepper, unspecified",Vine-stalk  eg. tomato,2057
2000,April,Ohio,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,4,,,,,2058
2000,April,Ohio,,,,Private home,2,0,0,,,2059
2000,April,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,"Church, temple, etc",40,,0,fruit-based salads unspecified,,2060
2000,April,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,Restaurant - other or unknown type,76,,0,seven-layer salad,,2061
2000,April,Ohio,,,,Private home,2,,,"bread, unspecified; chicken, unspecified; salad, unspecified",,2062
2000,April,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,Restaurant - other or unknown type,11,,,,,2063
2000,April,Ohio,Norovirus,GI / undefined cluster by sequence,Confirmed,Restaurant - other or unknown type,60,,0,seven-layer salad,,2064
2000,April,Ohio,Norovirus,GI / undefined cluster by sequence,Suspected,"Church, temple, etc",3,,,,,2065
2000,April,Ohio,Norovirus,"Genogroup I (GI), non typeable by GI probes",Confirmed,Private home,9,,,,,2066
2000,March,Ohio,Norovirus,,Suspected,Other,24,,,,,2067
2000,March,Ohio,Norovirus,GII / undefined cluster by sequence,Suspected,Restaurant - other or unknown type,33,,0,,,2068
2000,March,Ohio,Norovirus,GII / undefined cluster by sequence,Confirmed,"Restaurant - other or unknown type; Workplace, not cafeteria",99,0,0,,,2069
2000,March,Ohio,,,,Private home,3,,,,,2070
2000,March,Ohio,Norovirus,,Suspected,School,21,1,0,,,2071
2000,February,Ohio,Norovirus,GII / undefined cluster by sequence,Confirmed,Restaurant - other or unknown type,7,,,lettuce-based salads unspecified,,2072
2000,February,Ohio,,,,Restaurant - other or unknown type,3,0,0,,,2073
2000,February,Ohio,Norovirus,GII / undefined cluster by sequence,Confirmed,School,87,,0,speciality dessert unspecified,,2074
2000,February,Ohio,,,,Private home,6,0,0,,,2075
2000,February,Ohio,Norovirus,GII / undefined cluster by sequence,Confirmed,,4,0,0,,,2076
2000,January,Ohio,,,,Restaurant - other or unknown type,2,0,0,"sandwich, submarine",,2077
2000,January,Ohio,Clostridium perfringens,,Suspected,Restaurant - other or unknown type,4,,,"ground beef, unspecified",Beef,2078
2000,January,Ohio,Norovirus,GII / undefined cluster by sequence,Confirmed,,3,,,"sandwich, submarine",,2079
2000,December,New York,Salmonella enterica,Enteritidis,Confirmed,Private home,12,6,,"eggnog, unspecified",Eggs,2080
2000,December,New York,,,,Restaurant - other or unknown type,11,,,,,2081
2000,December,New York,Hepatitis A,,Confirmed,,12,,,multiple foods,,2082
2000,December,New York,Staphylococcus aureus,,Confirmed,Restaurant - other or unknown type,47,9,0,other food *****,,2083
2000,December,New York,Clostridium perfringens,,Confirmed,"Prison, jail",83,,,"taco, beef",Beef,2084
2000,November,New York,,,,Restaurant - other or unknown type,8,,,,,2085
2000,November,New York,Clostridium perfringens,,Suspected,Restaurant - other or unknown type,72,,,"roast beef, unspecified",Beef,2086
2000,November,New York,Clostridium perfringens,,Suspected,School,40,,,"rice, unspecified",,2087
2000,November,New York,Norovirus,,Confirmed,,34,,,,,2088
2000,October,New York,,,,School,29,,,"beef, chili",,2089
2000,October,New York,Giardia lamblia,,Confirmed,Other,82,,,multiple foods,,2090
2000,October,New York,Other viral,,Suspected,Other,67,,,custard,,2091
2000,October,New York,Shigella unknown,,Confirmed,,5,,,,,2092
2000,October,New York,Scombroid toxin,,Confirmed,Restaurant - other or unknown type,2,,,"sandwich, tuna fish",Fin fish,2093
2000,October,New York,Salmonella enterica,Enteritidis,Confirmed,"Nursing home, assisted living facility, home care",4,0,,"eggs, other",,2094
2000,September,New York,,,,Restaurant - other or unknown type,7,,,multiple foods,,2095
2000,September,New York,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,"Church, temple, etc",18,3,,,,2096
2000,September,New York,,,,Private home,12,,,veggie-based pasta,,2097
2000,September,New York,,,,Other,21,,,,,2098
2000,September,New York,Salmonella enterica,Enteritidis,Confirmed,Private home,68,,,"fish, gifilte",,2099
2000,September,New York,Campylobacter jejuni,,Confirmed,"Fair, festival, temporary mobile service",39,,,"whole milk, unpasteurized",Milk,2100
2000,September,New York,,,,Restaurant - other or unknown type,6,,,,,2101
2000,August,New York,,,,Restaurant - other or unknown type,10,,,,,2102
2000,August,New York,,,,Other,13,,,,,2103
2000,August,New York,Salmonella enterica,Unspecified,Confirmed,Restaurant - other or unknown type,10,1,0,multiple foods,,2104
2000,August,New York,,,,Restaurant - other or unknown type,5,,,"clams, raw",,2105
2000,August,New York,Norovirus,,Confirmed,Other; Picnic,9,,,unspecified beverage,,2106
2000,August,New York,Norovirus,,Confirmed,Other,18,,,,,2107
2000,August,New York,,,,Restaurant - other or unknown type,24,,,,,2108
2000,July,New York,Other viral,,Suspected,Other; School,16,,,,,2109
2000,July,New York,"E.coli, Shiga toxin-producing",O157:H7,Suspected,Private home,2,,,"ground beef, hamburger",Beef,2110
2000,July,New York,Salmonella enterica,Infantis,Confirmed,Private home,20,,,"fish, gifilte",,2111
2000,July,New York,Clostridium perfringens,,Confirmed,Other,15,,,"lasagna, beef",,2112
2000,June,New York,Hepatitis A,,Confirmed,Restaurant - other or unknown type,4,,,"sushi, unspecified",,2113
2000,June,New York,,,,Picnic; Private home,6,,,,,2114
2000,June,New York,Other viral,,Suspected,Other,25,,,,,2115
2000,June,New York,Salmonella enterica,Typhimurium,Confirmed,Restaurant - other or unknown type,2,,,,,2116
2000,May,New York,Other viral,,Suspected,"Church, temple, etc; Private home",46,0,0,multiple foods,,2117
2000,May,New York,,,,Other,23,,,,,2118
2000,May,New York,Norovirus,,Confirmed,,27,,,,,2119
2000,May,New York,Norovirus,,Confirmed,Other,114,,,macaroni salad,,2120
2000,May,New York,,,,Private home,4,,,,,2121
2000,May,New York,Salmonella enterica,,Confirmed,Restaurant - other or unknown type,7,0,0,multiple foods,,2122
2000,May,New York,,,,School,35,,,,,2123
2000,May,New York,Scombroid toxin,,Suspected,Restaurant - other or unknown type,2,,,tuna salad,Fin fish,2124
2000,April,New York,,,,"Workplace, not cafeteria",16,,,"sandwich, submarine",,2125
2000,April,New York,Other viral,,Suspected,Other,12,,,"scallops, unspecified",,2126
2000,April,New York,Bacillus cereus,,Suspected,Private home,6,,0,chicken fried rice,,2127
2000,March,New York,"E.coli, Shiga toxin-producing",O157:H7,Suspected,School,43,2,,"ground beef, cheeseburger",Beef,2128
2000,March,New York,,,,"Workplace, not cafeteria",26,,,multiple foods,,2129
2000,March,New York,,,,Other,10,,,,,2130
2000,March,New York,Norovirus,,Confirmed,Restaurant - other or unknown type,13,,,,,2131
2000,February,New York,,,,Other,67,,,"water, unspecified",,2132
2000,February,New York,,,,Other,15,,,"squid/calamari, unspecified",,2133
2000,February,New York,,,,Restaurant - other or unknown type,16,,,,,2134
2000,February,New York,Scombroid toxin,,Confirmed,Restaurant - other or unknown type,2,,,tuna burger,Fin fish,2135
2000,February,New York,,,,Restaurant - other or unknown type,18,,,,,2136
2000,February,New York,,,,"Workplace, not cafeteria",43,,,"soup, chicken",,2137
2000,February,New York,,,,Other,11,,,,,2138
2000,January,New York,Norovirus,,Confirmed,Restaurant - other or unknown type,25,,,butter ; rolls,,2139
2000,January,New York,,,,,16,,,"cheese, unspecified; dips, unspecified; unspecified vegetables",,2140
2000,January,New York,,,,,23,,,,,2141
2000,May,New Mexico,Salmonella enterica,Typhimurium var Cope,Confirmed,Other; Private home,32,2,0,"stew/chili, other",,2142
2000,February,New Mexico,Clostridium perfringens,,Confirmed,Other,34,,,"enchilada, chicken",,2143
2000,September,New Jersey,Salmonella enterica,Enteritidis,Confirmed,"Nursing home, assisted living facility, home care",18,2,0,"eggs, unspecified",,2144
2000,June,New Jersey,Salmonella enterica,Enteritidis,Confirmed,"Nursing home, assisted living facility, home care",41,8,0,"eggs, unspecified",,2145
2000,December,New Hampshire,,,,,51,,,,,2146
2000,September,New Hampshire,Salmonella enterica,Newport,Confirmed,,5,,,"chicken, unspecified",,2147
2000,March,New Hampshire,Salmonella enterica,Thompson,Confirmed,,4,,,,,2148
2000,October,Nebraska,,,,School,29,0,0,"deli meat, sliced ham",,2149
2000,July,Nebraska,Clostridium perfringens,,Confirmed,Restaurant - other or unknown type,10,0,0,"enchilada, chicken",,2150
2000,December,North Carolina,Salmonella enterica,,Confirmed,"Church, temple, etc",58,,,"turkey, unspecified",,2151
2000,July,Michigan,,,,Restaurant - other or unknown type,20,,,,,2152
2000,November,North Carolina,Listeria monocytogenes,,Confirmed,Private home,12,,,"queso fresco, unspecified",,2153
2000,October,North Carolina,Norovirus,,Suspected,Restaurant - other or unknown type,30,,,,,2154
2000,June,North Carolina,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - other or unknown type,4,,,,,2155
2000,May,North Carolina,Norovirus,,Suspected,School,50,,,,,2156
2000,February,North Carolina,,,,Restaurant - other or unknown type,14,,,,,2157
2000,April,Montana,,,,,25,,,,,2158
2000,April,Montana,,,,Other,71,,,,,2159
2000,April,Montana,,,,School,82,3,0,,,2160
2000,March,Montana,,,,,3,,,,,2161
2000,March,Montana,,,,,4,,,,,2162
2000,March,Montana,,,,,3,,,"ground beef, hamburger",,2163
2000,September,Mississippi,Clostridium perfringens,,Suspected,Restaurant - other or unknown type,10,,,"taco, beef",,2164
2000,September,Mississippi,Clostridium perfringens,,Confirmed,Restaurant - other or unknown type,4,,,"enchilada, unspecified; taco, unspecified",,2165
2000,July,Mississippi,Salmonella enterica,Infantis,Confirmed,Restaurant - other or unknown type,107,3,0,"roast beef, unspecified",,2166
2000,July,Mississippi,,,,"Workplace, not cafeteria",3,1,0,,,2167
2000,April,Mississippi,Bacillus other; Clostridium perfringens,,Confirmed; Confirmed,Private home,5,,,"ground beef, unspecified; onion, unspecified; peppers, bell, unspecified",Rice,2168
2000,April,Mississippi,Salmonella enterica,Heidelberg,Confirmed,Restaurant - other or unknown type,6,3,0,"chicken, unspecified; stuffing, unspecified",,2169
2000,January,Mississippi,,,,Restaurant - other or unknown type,5,0,0,,,2170
2000,November,Missouri,,,,Hospital,24,,,pasta salad,,2171
2000,September,Missouri,,,,Other,21,1,,"ground beef, meatballs",,2172
2000,September,Missouri,,,,Restaurant - other or unknown type,41,1,0,,,2173
2000,August,Missouri,Norovirus,,Confirmed,Other,14,0,0,mixed fruit,,2174
2000,May,Missouri,,,,Restaurant - other or unknown type,7,1,0,,,2175
2000,February,Missouri,Norovirus,"Genogroup I (GI), non typeable by GI probes",Confirmed,Restaurant - other or unknown type,37,0,0,,,2176
2000,December,Minnesota,Norovirus,,Suspected,Restaurant - other or unknown type,35,0,0,"coleslaw; ground beef, hamburger",,2177
2000,December,Minnesota,Norovirus,,Confirmed,Private home,8,0,0,,,2178
2000,December,Minnesota,Norovirus,,Suspected,Restaurant - other or unknown type,7,0,0,"sandwich, submarine",,2179
2000,December,Minnesota,Norovirus,,Confirmed,Other,15,0,0,rolls,,2180
2000,December,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,30,0,0,,,2181
2000,November,Minnesota,Norovirus,,Confirmed,Other,30,0,0,"beer ; green beans, unspecified",,2182
2000,November,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,46,1,0,,,2183
2000,November,Minnesota,Norovirus,,Confirmed,Picnic,14,0,0,,,2184
2000,October,Minnesota,Norovirus,,Confirmed,Other,34,0,0,"cherry tomato ; dips, unspecified; vegetable dip, unspecified",,2185
2000,October,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,12,0,0,,,2186
2000,October,Minnesota,Scombroid toxin,,Suspected,Restaurant - other or unknown type,2,1,0,tuna burger,Fin fish,2187
2000,October,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,14,0,0,"sandwich, submarine",,2188
2000,September,Minnesota,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,16,1,0,"egg-containing food, other; multiple foods",,2189
2000,August,Minnesota,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home,3,0,0,"ground beef, hamburger",Beef,2190
2000,August,Minnesota,Shigella sonnei,,Confirmed,Picnic,24,0,0,onion dip; unspecified fruit,,2191
2000,July,Minnesota,Salmonella enterica,Heidelberg,Confirmed,Private home,14,0,0,"turkey, smoked",Turkey,2192
2000,July,Minnesota,,,,Other,21,0,0,"rice, unspecified",,2193
2000,June,Minnesota,Scombroid toxin,,Suspected,Restaurant - other or unknown type,2,0,0,tuna steak,Fin fish,2194
2000,June,Minnesota,Campylobacter other,,Confirmed,Other,8,1,0,"other milk, unpasteurized",Milk,2195
2000,June,Minnesota,,,,"Workplace, not cafeteria",3,0,0,egg rolls,,2196
2000,June,Minnesota,Norovirus,,Suspected,Restaurant - other or unknown type,3,0,0,"salad, unspecified",,2197
2000,June,Minnesota,,,,Restaurant - other or unknown type,2,0,0,,,2198
2000,June,Minnesota,Norovirus,,Confirmed,"Workplace, not cafeteria",33,0,0,"cantaloupe; sandwich, turkey",Fruit,2199
2000,June,Minnesota,Salmonella enterica,Typhimurium,Suspected,Private home,12,1,0,"turkey, smoked",Turkey,2200
2000,June,Minnesota,,,,Restaurant - other or unknown type,5,0,0,,,2201
2000,May,Minnesota,,,,Restaurant - other or unknown type,6,0,0,,,2202
2000,May,Minnesota,Shigella sonnei,,Confirmed,Restaurant - other or unknown type,3,3,0,multiple foods,,2203
2000,May,Minnesota,Salmonella enterica,Typhimurium,Confirmed,Restaurant - other or unknown type,6,1,0,,,2204
2000,April,Minnesota,Norovirus,,Suspected,Restaurant - other or unknown type,11,0,0,"ham, unspecified",,2205
2000,April,Minnesota,,,,Restaurant - other or unknown type,6,0,0,,,2206
2000,April,Minnesota,Salmonella enterica,Heidelberg,Confirmed,Restaurant - other or unknown type,7,1,0,multiple foods,,2207
2000,April,Minnesota,Norovirus,,Suspected,School,37,2,0,salad bar,,2208
2000,April,Minnesota,,,,Restaurant - other or unknown type,2,0,0,"salad, unspecified",,2209
2000,April,Minnesota,Hepatitis A,,Confirmed,Restaurant - other or unknown type,9,1,0,,,2210
2000,March,Minnesota,"E.coli, Shiga toxin-producing",O157:H7,Suspected,School,18,2,0,"ground beef, unspecified",Beef,2211
2000,March,Minnesota,Hepatitis A,,Confirmed,Restaurant - other or unknown type,39,2,0,,,2212
2000,February,Minnesota,Norovirus,,Confirmed,"Nursing home, assisted living facility, home care",26,0,0,,,2213
2000,February,Minnesota,Norovirus,,Suspected,Private home,17,0,0,"cake, brownie; dessert, other *****",,2214
2000,February,Minnesota,Bacillus cereus,,Confirmed,"Workplace, not cafeteria",10,,,"fried rice, unspecified",,2215
2000,February,Minnesota,Norovirus,,Confirmed,School,21,0,0,"carrots, unspecified; chicken, nuggets/fingers; french fries",,2216
2000,January,Minnesota,Norovirus,,Suspected,Private home,11,0,0,"sandwich, cucumber",,2217
2000,January,Minnesota,Norovirus,,Confirmed,"Nursing home, assisted living facility, home care",71,0,0,,,2218
2000,January,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,44,0,0,"mixed fruit; vegetable dip, unspecified",Fruit,2219
2000,January,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,24,0,0,"celery, unspecified; deli tray; vegetable dip, unspecified",,2220
2000,November,Multistate outbreak reported by CDC,Hepatitis A,,Confirmed,Restaurant - other or unknown type,32,15,0,green onion/scallion,,2221
2000,November,Multistate outbreak reported by CDC,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home,50,30,0,"ground beef, unspecified",Beef,2222
2000,November,Multistate outbreak reported by CDC,Salmonella enterica,Thompson,Confirmed,Private home,43,,,"tomato, unspecified",Vine-stalk  eg. tomato,2223
2000,July,Multistate outbreak reported by CDC,Salmonella enterica,Thompson,Confirmed,Restaurant - other or unknown type,26,,,,,2224
2000,July,Multistate outbreak reported by CDC,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Camp,15,0,0,"ground beef, hamburger",Beef,2225
2000,May,Multistate outbreak reported by CDC,Listeria monocytogenes,,Confirmed,Other,29,29,7,"deli meat, sliced turkey",Turkey,2226
2000,April,Multistate outbreak reported by CDC,Campylobacter jejuni,,Confirmed,Private home,18,0,0,"homemade cheese, unpasteurized",Milk,2227
2000,April,Multistate outbreak reported by CDC,Salmonella enterica,Poona,Confirmed,"Nursing home, assisted living facility, home care; Private home; Restaurant - other or unknown type; School",46,11,0,cantaloupe,,2228
2000,April,Multistate outbreak reported by CDC,Salmonella enterica,Group E1,Confirmed,,30,4,0,,,2229
2000,March,Multistate outbreak reported by CDC,Salmonella enterica,Enteritidis,Confirmed,Private home; Restaurant - other or unknown type; School,75,3,,mung bean sprouts,Sprouts,2230
2000,March,Multistate outbreak reported by CDC,Salmonella enterica,Enteritidis,Confirmed,Grocery store; Private home; Restaurant - other or unknown type,88,,,"orange juice, unpasteurized",Fruit,2231
2000,February,Multistate outbreak reported by CDC,Norovirus,GII / undefined cluster by sequence,Confirmed,"Workplace, not cafeteria",333,3,,pasta salad; potato salad; vegetable-based salads unspecified,,2232
2000,January,Multistate outbreak reported by CDC,Shigella sonnei,,Confirmed,Private home,494,13,0,bean dip,,2233
2000,December,Michigan,,,,Restaurant - other or unknown type,9,0,0,,,2234
2000,December,Michigan,Norovirus,,Confirmed,Private home,16,,,crab salad,,2235
2000,December,Michigan,,,,Restaurant - other or unknown type,2,,,"caesar salad; ground beef, hamburger",,2236
2000,December,Michigan,,,,Restaurant - other or unknown type,4,0,0,,,2237
2000,December,Michigan,,,,Restaurant - other or unknown type,8,0,0,,,2238
2000,December,Michigan,,,,Restaurant - other or unknown type,30,,0,"cake, unspecified; mostaccioli, unspecified",,2239
2000,December,Michigan,,,,Restaurant - other or unknown type,7,0,0,,,2240
2000,December,Michigan,,,,"Workplace, not cafeteria",9,0,0,,,2241
2000,December,Michigan,,,,Restaurant - other or unknown type,2,,,"burrito, beef; salsa, unspecified",,2242
2000,November,Michigan,,,,Restaurant - other or unknown type,2,,,"shrimp, unspecified",Shellfish,2243
2000,November,Michigan,,,,Private home; Restaurant - other or unknown type,15,0,0,,,2244
2000,November,Michigan,Norovirus,,Confirmed,Private home,16,0,0,,,2245
2000,November,Michigan,Staphylococcus aureus,,Suspected,Restaurant - other or unknown type,3,,,coleslaw; multiple foods; unspecified fish,,2246
2000,November,Michigan,,,,Restaurant - other or unknown type,2,,,,,2247
2000,November,Michigan,,,,Restaurant - other or unknown type,18,1,0,,,2248
2000,November,Michigan,Norovirus,,Confirmed,School,15,0,0,,,2249
2000,November,Michigan,,,,Restaurant - other or unknown type,2,,,"chicken salad; ice cream, unspecified",,2250
2000,October,Michigan,Norovirus,,Confirmed,Other,115,,0,"lettuce-based salads unspecified; pasta, unspecified",,2251
2000,October,Michigan,Norovirus,,Suspected,Other,24,,0,"mostaccioli, unspecified",,2252
2000,October,Michigan,Norovirus,,Confirmed,Other,15,,0,,,2253
2000,October,Michigan,,,,Restaurant - other or unknown type,2,,,"chicken, unspecified; egg rolls; multiple foods; shrimp, unspecified",,2254
2000,October,Michigan,,,,Other,7,,,,,2255
2000,October,Michigan,,,,"Prison, jail; Workplace, not cafeteria",3,0,0,,,2256
2000,September,Michigan,,,,School,45,,,"ground beef, sloppy joe",,2257
2000,September,Michigan,,,,Restaurant - other or unknown type,2,,,multiple foods,,2258
2000,August,Michigan,Norovirus,,Confirmed,Private home,18,0,0,"chicken, unspecified",,2259
2000,August,Michigan,,,,Restaurant - other or unknown type,3,0,0,"pizza, meat",,2260
2000,August,Michigan,,,,Restaurant - other or unknown type,3,0,0,,,2261
2000,August,Michigan,,,,Restaurant - other or unknown type,4,0,0,"sandwich, turkey",,2262
2000,August,Michigan,,,,Restaurant - other or unknown type,2,0,0,,,2263
2000,August,Michigan,,,,Restaurant - other or unknown type,4,0,0,"ribs, beef; unspecified fish",,2264
2000,August,Michigan,Norovirus,,Confirmed,"Workplace, not cafeteria",15,1,0,,,2265
2000,July,Michigan,,,,Restaurant - other or unknown type,2,0,0,,,2266
2000,July,Michigan,,,,Restaurant - other or unknown type,2,0,0,"salad dressing, unspecified; salad, unspecified",,2267
2000,July,Michigan,,,,Restaurant - other or unknown type,2,0,0,"croissants; potato, unspecified; sausage, pork",,2268
2000,July,Michigan,,,,Private home,2,,,,,2269
2000,June,Michigan,,,,Restaurant - other or unknown type,2,,,"ground beef, cheeseburger",,2270
2000,June,Michigan,,,,"Workplace, not cafeteria",3,0,0,"sandwich, roast beef",,2271
2000,June,Michigan,,,,Private home,3,0,0,,,2272
2000,June,Michigan,Norovirus,,Confirmed,Other,63,1,0,"cake, unspecified",,2273
2000,May,Michigan,,,,Restaurant - other or unknown type,2,,,"macaroni and cheese; shrimp, unspecified; unspecified fish",,2274
2000,May,Michigan,,,,Restaurant - other or unknown type,4,0,0,"fajita, chicken",Chicken; Leafy,2275
2000,May,Michigan,,,,Restaurant - other or unknown type,2,,,"burrito, unspecified; enchilada, unspecified; quesadilla, unspecified",,2276
2000,May,Michigan,,,,Restaurant - other or unknown type,5,0,0,chicken salad,Chicken; Leafy,2277
2000,May,Michigan,Norovirus,,Suspected,Other,75,0,0,,,2278
2000,May,Michigan,,,,Restaurant - other or unknown type,17,,,,,2279
2000,May,Michigan,,,,,6,,,,,2280
2000,May,Michigan,Norovirus,,Confirmed,Other,184,,,,,2281
2000,May,Michigan,,,,Restaurant - other or unknown type,13,1,0,,,2282
2000,May,Michigan,,,,Other,2,0,0,,,2283
2000,May,Michigan,Salmonella enterica,Braenderup,Suspected,Restaurant - other or unknown type,75,2,0,"salad dressing, unspecified; salad, unspecified",Leafy; Sauces/ Dressings,2284
2000,May,Michigan,,,,Other,2,0,0,"ice cream, unspecified",,2285
2000,May,Michigan,,,,"Workplace, not cafeteria",2,,,"chicken, unspecified; coleslaw",,2286
2000,April,Michigan,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home; Restaurant - other or unknown type,4,3,0,"ground beef, unspecified",Beef,2287
2000,April,Michigan,,,,Restaurant - other or unknown type,2,,,multiple foods,,2288
2000,April,Michigan,,,,Other,7,0,0,"chicken, unspecified; coleslaw",,2289
2000,April,Michigan,,,,Restaurant - other or unknown type,5,0,0,,,2290
2000,April,Michigan,,,,Restaurant - other or unknown type,2,0,0,"ethnic style, unspecified",,2291
2000,April,Michigan,,,,Restaurant - other or unknown type,4,0,0,,,2292
2000,April,Michigan,,,,Restaurant - other or unknown type,2,,,,,2293
2000,April,Michigan,,,,Private home,2,0,0,"chicken, buffalo wings",,2294
2000,April,Michigan,,,,Private home,6,0,0,"cake, unspecified; potato, mashed",,2295
2000,April,Michigan,,,,Restaurant - other or unknown type,3,0,0,,,2296
2000,April,Michigan,,,,Restaurant - other or unknown type,2,,,"ground beef, hamburger",,2297
2000,April,Michigan,,,,Restaurant - other or unknown type,2,,,multiple foods,,2298
2000,April,Michigan,,,,Restaurant - other or unknown type,5,0,0,,,2299
2000,March,Michigan,,,,Private home,3,0,0,"chicken, other",Chicken,2300
2000,March,Michigan,,,,Other,10,0,0,,,2301
2000,March,Michigan,,,,Restaurant - other or unknown type,2,0,0,"greek salad; spinach, unspecified",,2302
2000,March,Michigan,,,,Restaurant - other or unknown type,5,0,0,,,2303
2000,March,Michigan,Norovirus,,Confirmed,Private home,11,3,0,,,2304
2000,March,Michigan,,,,Restaurant - other or unknown type,3,,,,,2305
2000,March,Michigan,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,11,0,0,"eggs, unspecified",Eggs,2306
2000,March,Michigan,,,,,4,,,seafood-based salad unspecified,,2307
2000,March,Michigan,,,,Restaurant - other or unknown type,11,0,0,,,2308
2000,March,Michigan,,,,Other,2,0,0,"ice cream, unspecified",,2309
2000,March,Michigan,,,,Restaurant - other or unknown type,2,,,"beef, chili",,2310
2000,February,Michigan,,,,Private home,12,0,0,"cake, unspecified",,2311
2000,February,Michigan,,,,Other,2,0,0,"chicken, nuggets/fingers",,2312
2000,February,Michigan,,,,Restaurant - other or unknown type,2,2,0,,,2313
